City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Enumclaw,US,47.2043,-121.9915,60.75,66,0,5.03,clear sky
249,Lorengau,PG,-2.0226,147.2712,82.69,75,99,4.56,overcast clouds
250,Shouguang,CN,36.88,118.7375,77.41,39,2,7.25,clear sky
251,Qinggang,CN,46.6833,126.0833,71.8,25,0,23.35,clear sky
252,Tukrah,LY,32.5341,20.5791,80.64,50,79,1.48,broken clouds
253,Oum Hadjer,TD,13.2954,19.6966,79.32,64,91,4.52,light rain
254,Saint-Pierre,RE,-21.3393,55.4781,74.88,64,20,29.93,few clouds
255,Harper,LR,4.375,-7.7169,75.67,85,100,7.43,overcast clouds
256,Rundu,NA,-17.9333,19.7667,62.26,18,0,11.05,clear sky
257,Krasnoselkup,RU,65.7,82.4667,43.3,95,100,23.96,overcast clouds
258,Revelstoke,CA,50.9832,-118.2023,48.22,76,0,4.61,clear sky
259,Maidstone,GB,51.2667,0.5167,57.97,70,20,0.74,few clouds
260,Kautokeino,NO,69.0125,23.0412,36.37,71,99,10.09,overcast clouds
261,Georgetown,MY,5.4112,100.3354,87.73,78,20,6.91,few clouds
262,Imuris,MX,30.7833,-110.8667,73.89,81,50,3.49,scattered clouds
263,Savannah Bight,HN,16.45,-85.85,83.34,74,85,9.26,overcast clouds
264,Ponta Do Sol,PT,32.6667,-17.1,72.72,79,24,2.53,few clouds
265,Brae,GB,60.3964,-1.353,55.13,93,100,10.31,overcast clouds
266,Mount Isa,AU,-20.7333,139.5,87.57,33,64,11.5,broken clouds
267,Rodrigues Alves,BR,-7.738,-72.6509,73.6,83,51,2.98,broken clouds
268,Isiro,CD,2.7739,27.616,70.09,95,93,1.5,light rain
269,Atbasar,KZ,51.8,68.3333,73.63,29,0,6.93,clear sky
270,Burnie,AU,-41.0667,145.9167,62.94,70,67,3.42,broken clouds
271,Totness,SR,5.8833,-56.3167,74.66,93,100,7.36,overcast clouds
272,Chimoio,MZ,-19.1164,33.4833,66.06,100,40,8.3,mist
273,Havoysund,NO,70.9963,24.6622,43.03,89,100,18.1,light rain
274,Haines Junction,CA,60.7522,-137.5108,55.35,58,86,9.22,overcast clouds
275,Mackay,AU,-21.15,149.2,80.69,73,19,11.05,few clouds
276,Nizhniy Kuranakh,RU,58.8353,125.4869,36.72,100,100,1.34,light rain
277,Banda Aceh,ID,5.5577,95.3222,86.59,63,90,14.32,overcast clouds
278,Geraldton,AU,-28.7667,114.6,70.21,60,20,12.66,few clouds
279,Cidreira,BR,-30.1811,-50.2056,61.21,80,96,3.74,overcast clouds
280,Vardo,NO,70.3705,31.1107,40.98,75,100,16.11,light rain
281,Arroyo Grande,US,35.1186,-120.5907,62.17,90,0,0.72,clear sky
282,Beloha,MG,-25.1667,45.05,80.58,34,0,10.2,clear sky
283,Torbay,CA,47.6666,-52.7314,45.5,97,0,3.44,clear sky
284,Jacmel,HT,18.2342,-72.5347,77.99,86,100,1.54,overcast clouds
285,Ekhabi,RU,53.5102,142.9671,53.69,47,11,17.36,few clouds
286,Bathsheba,BB,13.2167,-59.5167,84.81,74,75,25.32,broken clouds
287,Liseleje,DK,56.0053,11.9483,41.25,58,17,8.81,few clouds
288,Yuci,CN,37.6803,112.7319,69.55,46,0,6.71,clear sky
289,Palmi,IT,38.3653,15.8615,72.84,70,8,5.1,clear sky
290,Ewa Beach,US,21.3156,-158.0072,80.55,67,0,10.36,clear sky
291,Singarayakonda,IN,15.25,80.0333,93.15,46,100,12.97,overcast clouds
292,Boden,SE,65.8252,21.6886,37.4,71,39,3.58,scattered clouds
293,Codrington,AU,-38.2667,141.9667,54.7,93,99,2.73,overcast clouds
294,Srednekolymsk,RU,67.45,153.6833,37.99,96,100,16.13,light rain
295,Zyryanka,RU,65.75,150.85,33.78,94,100,29.28,light snow
296,Amuntai,ID,-2.4177,115.2494,85.28,66,99,3.09,overcast clouds
297,Esperance,AU,-33.8667,121.9,68.22,51,0,7.9,clear sky
298,Fiumicino,IT,41.7675,12.2291,67.75,65,0,6.91,clear sky
299,Pochutla,MX,15.7432,-96.4661,75.81,92,96,3.11,overcast clouds
300,San Ramon,US,37.7799,-121.978,64.65,74,0,4.61,clear sky
301,East Hanover,US,40.8201,-74.3649,69.24,85,0,1.01,clear sky
302,Bata,GQ,1.8639,9.7658,75.4,88,100,2.46,light rain
303,Dhrangadhra,IN,22.9833,71.4667,87.78,50,3,11.45,clear sky
304,Muroto,JP,33.2833,134.15,75.4,55,75,13.91,broken clouds
305,Provideniya,RU,64.3833,-173.3,41.36,93,100,18.01,overcast clouds
306,Palmer,US,42.1584,-72.3287,60.24,85,40,8.05,scattered clouds
307,Coquimbo,CL,-29.9533,-71.3436,47.93,81,0,6.91,clear sky
308,Odweyne,SO,9.4092,45.064,79.27,47,54,13.94,broken clouds
309,Roma,US,43.2128,-75.4557,58.87,94,100,0.0,overcast clouds
310,Hit,IQ,33.6416,42.8251,90.68,27,0,9.22,clear sky
311,Caledon,ZA,-34.23,19.4265,55.56,63,35,3.18,scattered clouds
312,Noumea,NC,-22.2763,166.4572,78.78,81,21,15.57,few clouds
313,Abu Samrah,SY,35.3029,37.1841,75.15,52,0,14.43,clear sky
314,Fianarantsoa,MG,-21.4333,47.0833,63.86,56,67,10.89,broken clouds
315,Kirakira,SB,-10.4544,161.9205,78.35,86,100,6.85,overcast clouds
316,Askarovo,RU,53.3372,58.5089,65.35,32,54,2.24,broken clouds
317,Grants,US,35.1473,-107.8514,61.03,94,100,5.75,overcast clouds
318,Tobermory,CA,45.2501,-81.6665,66.76,82,0,14.5,clear sky
319,Sidrolandia,BR,-20.9319,-54.9614,68.76,97,50,5.79,scattered clouds
320,Broken Hill,AU,-31.95,141.4333,59.11,73,100,24.38,overcast clouds
321,Lasa,IT,46.6166,10.7002,47.28,75,32,2.51,scattered clouds
322,Faya,SA,18.3851,42.4509,69.91,34,87,1.25,overcast clouds
323,Ixtapa,MX,20.7,-105.2,79.83,89,100,0.0,overcast clouds
324,Xining,CN,36.6167,101.7667,66.83,44,2,3.8,clear sky
325,Viamao,BR,-30.0811,-51.0233,59.76,84,100,6.91,overcast clouds
326,Kenora,CA,49.8167,-94.4337,54.57,71,75,12.66,broken clouds
327,Port Lincoln,AU,-34.7333,135.8667,62.13,63,22,13.47,few clouds
328,Santa Cruz,BO,-17.8,-63.1667,71.06,68,75,12.66,broken clouds
329,Launceston,AU,-41.45,147.1667,68.61,52,100,5.75,overcast clouds
